id,school_id,constituent_id,activity_type,activity_name,role,start_year,end_year,record_source
1,1,10219,Club,Debate Society,,2006,2009,crm_import
2,1,11707,Club,Debate Society,,,,advancement_entry
3,1,9593,Club,Debate Society,Member Leader,2023,,crm_import
4,1,16453,Club,Debate Society,,,,crm_import
5,1,13932,Club,Debate Society,,2024,,crm_import
6,1,2876,Club,Debate Society,,2009,2011,crm_import
7,1,18288,Club,Debate Society,Treasurer,,,crm_import
8,1,5436,Club,Debate Society,,,,online
9,1,13811,Club,Debate Society,,,,crm_import
10,1,4236,Club,Debate Society,,1981,1984,online
11,1,12086,Club,Debate Society,,,,advancement_entry
12,1,6247,Club,Debate Society,,,,crm_import
13,1,1980,Club,Debate Society,,2013,2017,advancement_entry
14,1,12695,Club,Debate Society,,,,crm_import
15,1,5730,Club,Debate Society,,2024,,crm_import
16,1,5558,Club,Debate Society,,,,crm_import
17,1,1588,Club,Debate Society,,2008,2011,crm_import
18,1,15350,Club,Debate Society,,,,crm_import
19,1,7683,Club,Debate Society,Treasurer,2023,,crm_import
20,1,2054,Club,Debate Society,,1997,2001,crm_import
21,1,19279,Club,Debate Society,,2011,2014,crm_import
22,1,4001,Club,Debate Society,,1973,1977,crm_import
23,1,14292,Club,Debate Society,,,,crm_import
24,1,18440,Club,Debate Society,,,,online
25,1,14382,Club,Debate Society,,,,advancement_entry
26,1,15876,Club,Debate Society,,,,crm_import
27,1,13097,Club,Debate Society,,,,crm_import
28,1,5428,Club,Debate Society,,,,online
29,1,7937,Club,Debate Society,,2017,2020,advancement_entry
30,1,8880,Club,Debate Society,,1970,1973,crm_import
31,1,4080,Club,Debate Society,,,,crm_import
32,1,8218,Club,Debate Society,President,2023,2025,online
33,1,12113,Club,Debate Society,Treasurer,2027,,crm_import
34,1,5012,Club,Debate Society,,2010,2012,crm_import
35,1,1054,Club,Debate Society,,1974,1976,crm_import
36,1,8074,Club,Debate Society,,,,crm_import
37,1,13652,Club,Debate Society,Treasurer,,,crm_import
38,1,4584,Club,Debate Society,,2026,,crm_import
39,1,17276,Club,Debate Society,,,,crm_import
40,1,3216,Club,Debate Society,,1969,1973,advancement_entry
