id,school_id,constituent_id,affiliation_type,raw_affiliation_value,start_year,end_year,is_primary,record_source
1,1,14201,alumni,Alumnus/Alumna,1994,1998,true,online
2,1,14201,parent,Current Parent,2020,2024,false,online
3,1,18989,alumni,Alumnus/Alumna,1997,2001,true,advancement_entry
4,1,18989,parent,Parent/Guardian,2023,2026,false,advancement_entry
5,1,8738,alumni,Alumnus/Alumna,2000,2004,true,crm_import
6,1,8738,parent,Parent/Guardian,2026,2026,false,crm_import
7,1,7912,alumni,Former Student,1992,1996,true,crm_import
8,1,6536,alumni,Alumnus/Alumna,1985,1989,true,crm_import
9,1,6536,employee,Current Faculty,1997,,false,crm_import
10,1,14032,alumni,Alumni Record,2017,2021,true,crm_import
11,1,17988,alumni,Graduate,2014,2018,true,crm_import
12,1,42,alumni,Alumni Record,1981,1985,true,crm_import
13,1,42,parent,Current Parent,2007,,false,crm_import
14,1,15674,alumni,Former Student,1974,1978,true,crm_import
15,1,15674,trustee,Trustee,2022,,false,crm_import
16,1,19391,alumni,Alumni Record,1988,1992,true,online
17,1,14456,alumni,Alumni Record,2004,2008,true,online
18,1,2213,alumni,Graduate,1995,1999,true,advancement_entry
19,1,9875,alumni,Alumni Record,1971,1975,true,crm_import
20,1,9875,parent,Parent/Guardian,1997,2001,false,crm_import
21,1,8930,alumni,Alumnus/Alumna,2013,2017,true,crm_import
22,1,6164,alumni,Alumnus/Alumna,2011,2015,true,crm_import
23,1,626,alumni,Alumni Record,1984,1988,true,crm_import
24,1,7913,alumni,Former Student,2006,2010,true,crm_import
25,1,2548,alumni,Alumni Record,2015,2019,true,crm_import
26,1,1025,alumni,Alumni Record,1989,1993,true,crm_import
27,1,12594,alumni,Alumnus/Alumna,1995,1999,true,online
28,1,1815,alumni,Alumni Record,2010,2014,true,online
29,1,6236,alumni,Alumnus/Alumna,1997,2001,true,advancement_entry
30,1,6236,parent,Parent/Guardian,2023,,false,advancement_entry
31,1,264,alumni,Graduate,2005,2009,true,crm_import
32,1,264,trustee,University Board Member,2022,,false,crm_import
33,1,14267,alumni,Former Student,1955,1959,true,crm_import
34,1,12514,alumni,Former Student,1993,1997,true,crm_import
35,1,588,alumni,Graduate,2002,2006,true,crm_import
36,1,588,employee,Employee,2014,,false,crm_import
37,1,9549,alumni,Alumni Record,2016,2020,true,crm_import
38,1,9549,parent,Parent/Guardian,2026,,false,crm_import
39,1,18084,alumni,Alumnus/Alumna,2020,2024,true,crm_import
40,1,12973,alumni,Former Student,1970,1974,true,crm_import
41,1,11829,alumni,Graduate,2016,2020,true,online
42,1,11829,parent,Parent,2026,,false,online
43,1,14771,alumni,Alumni Record,1997,2001,true,online
44,1,5299,alumni,Alumnus/Alumna,1997,2001,true,advancement_entry
45,1,3300,alumni,Former Student,1978,1982,true,crm_import
46,1,10285,alumni,Alumni Record,1982,1986,true,crm_import
47,1,17300,alumni,Alumni Record,1983,1987,true,crm_import
48,1,17300,parent,Parent/Guardian,2009,,false,crm_import
49,1,12503,alumni,Former Student,2022,2026,true,crm_import
50,1,12503,employee,Current Faculty,2026,,false,crm_import
51,1,13403,alumni,Alumni Record,2017,2021,true,crm_import
52,1,16452,alumni,Alumni Record,2005,2009,true,crm_import
53,1,17400,alumni,Alumnus/Alumna,1994,1998,true,crm_import
54,1,6870,alumni,Graduate,1968,1972,true,online
55,1,6870,parent,Parent,1994,,false,online
56,1,6689,alumni,Graduate,1971,1975,true,online
57,1,169,alumni,Graduate,2014,2018,true,advancement_entry
58,1,6930,alumni,Alumnus/Alumna,1998,2002,true,crm_import
59,1,16567,alumni,Alumni Record,1997,2001,true,crm_import
60,1,9589,alumni,Alumnus/Alumna,2008,2012,true,crm_import
61,1,9589,employee,Employee,2020,,false,crm_import
62,1,9589,trustee,Trustee,2022,,false,crm_import
