id,school_id,constituent_id,employer,job_title,industry,started_at,ended_at,is_current,recorded_at,record_source
1,1,14201,Lakeshore Media,Managing Director,Media,2021-11-08,,true,2024-07-04,profile_enrichment
2,1,8738,Blue Lantern Technologies,Director of Product,Technology,2020-04-01,2025-11-30,false,2024-02-10,profile_enrichment
3,1,8738,Blue Lantern Technologies,Vice President of Product,Technology,2025-12-01,,true,2026-01-12,profile_enrichment
4,1,7912,Summit Grove Partners,Associate,Financial Services,2025-01-10,,true,2025-04-13,crm_import
5,1,14032,Redwood Holdings,President,Manufacturing,2015-05-10,,true,2019-07-09,crm_import
6,1,15674,Youth Arts Collaborative,Director of Programs,Nonprofit,2019-02-03,,true,2022-07-24,crm_import
7,1,19391,Granite Advisory,Vice President of Finance,Financial Services,2023-09-25,2025-10-14,false,2025-10-14,crm_import
8,1,19391,Granite Advisory,Chief Financial Officer,Financial Services,2025-10-15,,true,2026-04-20,profile_enrichment
9,1,14456,Silver Maple Holdings,Senior Finance Manager,Financial Services,2013-10-31,,true,2016-09-13,profile_enrichment
10,1,6164,Regional Health Partners,Program Manager,Healthcare,2021-04-18,,true,2026-03-24,profile_enrichment
11,1,626,Stonebridge Financial,Chief Financial Officer,Financial Services,2023-07-29,,true,2026-08-14,profile_enrichment
12,1,7913,Metro Community Foundation,Director of Programs,Nonprofit,2024-11-12,,true,2025-01-11,profile_enrichment
13,1,2548,Youth Arts Collaborative,Senior Program Manager,Nonprofit,2023-03-01,,true,2023-12-05,crm_import
14,1,1815,Summit Grove Partners,Finance Manager,Financial Services,2020-02-09,2024-09-22,false,2024-09-22,crm_import
15,1,1815,Stonebridge Financial,Associate,Financial Services,2014-09-28,2020-02-08,false,2020-02-08,crm_import
16,1,1815,Summit Grove Partners,Senior Finance Manager,Financial Services,2024-09-23,,true,2025-11-09,crm_import
17,1,6236,Regional Health Partners,Director of Operations,Healthcare,2018-08-18,,true,2023-04-16,profile_enrichment
18,1,12514,Mariner Media Group,Managing Director,Media,2016-04-05,2019-03-28,false,2019-03-28,profile_enrichment
19,1,12514,Neighborhood Business Alliance,Part-Time Lecturer,Consulting,2016-03-30,2019-09-12,false,2019-09-12,profile_enrichment
20,1,12514,Orchard Studio,President,Media,2019-03-29,,true,2023-11-25,profile_enrichment
21,1,9549,Summit Grove Partners,Finance Manager,Financial Services,2014-02-26,,true,2015-10-25,profile_enrichment
22,1,12973,Clearwater Manufacturing,Vice President of Operations,Manufacturing,2014-07-31,2019-01-01,false,2019-01-01,profile_enrichment
23,1,12973,Arcfield Manufacturing,Director of Operations,Manufacturing,2008-10-21,2014-07-30,false,2014-07-30,crm_import
24,1,12973,Redwood Holdings,President,Manufacturing,2019-12-14,,true,2021-10-09,crm_import
25,1,3300,Cedar Ridge Education,Department Chair,Education,2021-08-16,2024-11-28,false,2024-11-28,profile_enrichment
26,1,3300,Juniper Education Group,Professor,Education,2019-03-03,2021-08-15,false,2021-08-15,crm_import
27,1,3300,Open Learning Network,Associate Professor,Education,2015-11-21,2018-06-27,false,2018-06-27,crm_import
28,1,3300,Cedar Ridge Education,Dean,Education,2024-11-29,,true,2025-02-18,crm_import
29,1,13403,Youth Arts Collaborative,Program Coordinator,Nonprofit,2021-09-15,2024-06-14,false,2024-06-14,crm_import
30,1,13403,Metro Community Foundation,Program Manager,Nonprofit,2025-07-23,,true,2026-02-06,profile_enrichment
31,1,6870,Regional Health Partners,Senior Program Manager,Healthcare,2022-01-24,2025-03-07,false,2025-03-07,crm_import
32,1,6870,Regional Health Partners,Program Manager,Healthcare,2017-11-06,2022-01-23,false,2022-01-23,crm_import
33,1,6870,Regional Health Partners,Director of Operations,Healthcare,2025-03-08,,true,2026-08-28,profile_enrichment
34,1,6930,Mariner Media Group,Managing Director,Media,2024-04-20,,true,2025-12-16,crm_import
35,1,9589,Beacon Software Group,Software Engineer,Technology,2026-04-01,,true,2026-06-21,crm_import
36,1,10576,Stonebridge Financial,Senior Finance Manager,Financial Services,2017-11-14,,true,2025-07-09,crm_import
37,1,14894,Pinecrest Partners,General Counsel,Legal Services,2019-10-21,,true,2020-03-16,crm_import
38,1,1640,Blue Lantern Technologies,Vice President of Engineering,Technology,2013-12-16,,true,2021-01-28,profile_enrichment
39,1,16994,Northbridge Academy,Associate Professor,Education,2019-07-15,2023-04-18,false,2023-04-18,profile_enrichment
40,1,16994,Juniper Education Group,Professor,Education,2023-04-19,,true,2024-10-21,profile_enrichment
41,1,1688,Open Learning Network,Department Chair,Education,2021-05-31,2025-09-10,false,2025-09-10,profile_enrichment
42,1,1688,Juniper Education Group,Professor,Education,2015-10-12,2021-05-30,false,2021-05-30,crm_import
43,1,1688,Open Learning Network,Associate Professor,Education,2012-06-19,2015-10-11,false,2015-10-11,profile_enrichment
44,1,1688,Open Learning Network,Dean,Education,2025-09-11,,true,2026-02-25,crm_import
45,1,469,Metro Community Foundation,Vice President of Programs,Nonprofit,2011-11-10,,true,2025-02-25,crm_import
46,1,14556,Clearwater Health Group,Program Manager,Healthcare,2010-02-28,2016-02-01,false,2016-02-01,crm_import
47,1,14556,Harborline Health,Program Analyst,Healthcare,2006-01-22,2010-02-27,false,2010-02-27,crm_import
48,1,14556,Harborline Health,Program Analyst,Healthcare,2000-02-05,2006-01-21,false,2006-01-21,crm_import
49,1,14556,Arcfield Medical,Senior Program Manager,Healthcare,2016-02-02,,true,2026-03-04,crm_import
50,1,19806,Metro Community Foundation,Program Manager,Nonprofit,2014-08-22,2020-01-25,false,2020-01-25,profile_enrichment
51,1,19806,Youth Arts Collaborative,Senior Program Manager,Nonprofit,2020-01-26,,true,2026-01-26,profile_enrichment
52,1,2632,Cedar & Finch Consulting,Managing Counsel,Legal Services,2025-11-17,,true,2026-07-03,crm_import
53,1,5649,Silver Maple Holdings,Senior Finance Manager,Financial Services,2015-04-13,2020-04-26,false,2020-04-26,crm_import
54,1,5649,Stonebridge Financial,Finance Manager,Financial Services,2021-01-14,,true,2025-06-16,crm_import
55,1,7415,Beacon Software Group,Vice President of Engineering,Technology,2014-11-26,,true,2024-10-17,crm_import
56,1,12173,Northstar Systems,,Technology,2023-04-29,,true,2026-06-29,profile_enrichment
57,1,10444,Harborline Health,Vice President of Operations,Healthcare,2014-09-25,,true,2026-05-08,crm_import
58,1,12342,Arcfield Medical,Vice President of Operations,Healthcare,2021-09-28,,true,2023-04-28,crm_import
59,1,15934,Regional Health Initiative,Strategic Advisor,Education,2015-12-06,2017-07-19,false,2017-07-19,profile_enrichment
60,1,15934,Northstar Systems,Software Engineer,Technology,2017-06-08,,true,2019-03-02,crm_import
61,1,8785,Northstar Systems,Director of Engineering,Technology,2013-03-20,2016-10-02,false,2016-10-02,crm_import
62,1,8785,Blue Lantern Technologies,Engineering Manager,Technology,2007-04-01,2013-03-19,false,2013-03-19,crm_import
63,1,8785,Blue Lantern Technologies,Vice President of Engineering,Technology,2016-10-03,,true,2019-10-09,crm_import
64,1,19059,Metro Community Foundation,Director of Programs,Nonprofit,2022-06-25,2026-04-02,false,2026-04-02,profile_enrichment
65,1,19059,Youth Arts Collaborative,Senior Program Manager,Nonprofit,2017-10-27,2022-06-24,false,2022-06-24,crm_import
66,1,19059,Metro Community Foundation,Vice President of Programs,Nonprofit,2026-04-03,,true,2026-04-08,crm_import
67,1,8135,Summit Grove Partners,Finance Manager,Financial Services,2008-05-20,2013-01-15,false,2013-01-15,profile_enrichment
68,1,8135,Stonebridge Financial,Senior Finance Manager,Financial Services,2013-01-16,,true,2025-02-16,crm_import
69,1,13559,Orchard Studio,Senior Producer,Media,2010-03-11,2014-01-28,false,2014-01-28,crm_import
70,1,13559,Mariner Media Group,Program Director,Media,2014-01-29,,true,2026-07-05,crm_import
71,1,6806,Summit Grove Partners,Chief Financial Officer,Financial Services,2008-04-06,2013-03-21,false,2013-03-21,crm_import
72,1,6806,Summit Grove Partners,Director of Finance,Financial Services,2001-09-04,2007-02-04,false,2007-02-04,crm_import
73,1,6806,Summit Grove Partners,Chief Financial Officer,Financial Services,2014-02-06,,true,2024-10-05,profile_enrichment
74,1,7425,Clearwater Health Group,Director of Operations,Healthcare,2021-07-04,2026-03-05,false,2026-03-05,profile_enrichment
75,1,7425,Clearwater Health Group,Senior Program Manager,Healthcare,2019-06-20,2021-07-03,false,2021-07-03,crm_import
76,1,7425,Clearwater Health Group,Vice President of Operations,Healthcare,2026-03-06,,true,2026-03-19,profile_enrichment
77,1,6861,Northstar Systems,Vice President of Engineering,Technology,2021-08-26,2025-03-24,false,2025-03-24,crm_import
78,1,6861,Northstar Systems,Director of Engineering,Technology,2016-07-21,2021-03-19,false,2021-03-19,profile_enrichment
79,1,6861,Northstar Systems,Chief Technology Officer,Technology,2025-03-25,,true,2026-07-29,profile_enrichment
80,1,13961,Mariner Labs,Engineering Manager,Technology,2009-11-11,2012-11-15,false,2012-11-15,crm_import
81,1,13961,Blue Lantern Technologies,Senior Software Engineer,Technology,2012-11-16,,true,2015-01-31,crm_import
82,1,1760,Mariner Labs,Vice President of Engineering,Technology,2013-06-03,,true,2014-06-28,profile_enrichment
83,1,4482,Community Innovation Council,Director of Programs,Nonprofit,2020-03-04,2024-12-23,false,2024-12-23,crm_import
84,1,4482,Community Innovation Council,Vice President of Programs,Nonprofit,2024-12-24,,true,2025-02-09,profile_enrichment
85,1,2152,Clearwater Health Group,Vice President of Operations,Healthcare,2023-05-14,2025-12-20,false,2025-12-20,profile_enrichment
86,1,2152,Harborline Health,Director of Operations,Healthcare,2020-06-20,2023-02-22,false,2023-02-22,crm_import
87,1,2152,Arcfield Medical,Senior Program Manager,Healthcare,2015-12-01,2019-07-16,false,2019-07-16,crm_import
88,1,2152,Clearwater Health Group,Chief Operating Officer,Healthcare,2025-12-21,,true,2026-08-20,crm_import
89,1,7677,Orchard Studio,Senior Producer,Media,2013-02-03,,true,2024-09-15,profile_enrichment
90,1,15431,Metro Community Foundation,Program Coordinator,Nonprofit,2018-09-24,2022-05-09,false,2022-05-09,crm_import
91,1,15431,Metro Community Foundation,Program Coordinator,Nonprofit,2016-08-02,2018-09-23,false,2018-09-23,crm_import
92,1,15431,CivicWorks Collaborative,Program Manager,Nonprofit,2023-04-14,,true,2026-03-21,crm_import
93,1,15629,Orchard Studio,President,Media,2022-11-29,,true,2026-06-13,profile_enrichment
94,1,4925,Juniper Education Group,Department Chair,Education,2014-11-14,,true,2019-03-20,crm_import
95,1,19216,Clearwater Manufacturing,Operations Manager,Manufacturing,2017-05-11,2023-04-24,false,2023-04-24,profile_enrichment
96,1,19216,Redwood Holdings,Operations Analyst,Manufacturing,2014-10-23,2017-05-10,false,2017-05-10,profile_enrichment
97,1,19216,Redwood Holdings,Senior Operations Manager,Manufacturing,2023-04-25,,true,2025-04-09,profile_enrichment
98,1,3005,Summit Grove Partners,Finance Manager,Financial Services,2015-10-27,,true,2018-03-02,crm_import
99,1,6179,Redwood Holdings,Director of Operations,Manufacturing,2014-02-27,2017-06-28,false,2017-06-28,crm_import
100,1,6179,Granite Industrial Group,Senior Operations Manager,Manufacturing,2010-05-09,2013-09-27,false,2013-09-27,profile_enrichment
101,1,6179,Redwood Holdings,Vice President of Operations,Manufacturing,2017-06-29,,true,2025-12-11,profile_enrichment
102,1,790,Community Innovation Council,Director of Programs,Nonprofit,2020-11-02,,true,2024-10-24,crm_import
103,1,9284,Regional Health Partners,Program Manager,Healthcare,2014-11-10,2020-02-04,false,2020-02-04,profile_enrichment
104,1,9284,Harborline Health,Program Analyst,Healthcare,2011-06-29,2013-10-23,false,2013-10-23,profile_enrichment
105,1,9284,Harborline Health,Senior Program Manager,Healthcare,2020-02-05,,true,2021-07-25,crm_import
106,1,7419,Northbridge Academy,Professor,Education,2018-06-15,,true,2018-11-06,crm_import
107,1,9590,Lakeshore Media,Managing Director,Media,2025-06-13,,true,2025-09-25,profile_enrichment
108,1,11904,CivicWorks Collaborative,Director of Programs,Nonprofit,2012-03-02,,true,2013-09-20,profile_enrichment
109,1,7391,Cedar Ridge Education,Associate Professor,Education,2019-12-03,,true,2026-05-17,crm_import
110,1,10172,Northstar Systems,Chief Technology Officer,Technology,2025-11-12,,true,2026-04-18,profile_enrichment
111,1,9191,Cedar & Finch Consulting,Legal Analyst,Legal Services,2019-05-07,2021-10-24,false,2021-10-24,crm_import
112,1,9191,Harbor Street Counsel,Legal Analyst,Legal Services,2015-01-27,2019-05-06,false,2019-05-06,crm_import
113,1,9191,Harbor Street Counsel,Legal Analyst,Legal Services,2012-04-02,2015-01-26,false,2015-01-26,crm_import
114,1,9191,Pinecrest Partners,Associate Counsel,Legal Services,2021-10-25,,true,2023-06-07,profile_enrichment
115,1,6915,Granite Advisory,Vice President of Finance,Financial Services,2013-04-16,2016-02-09,false,2016-02-09,crm_import
116,1,6915,Stonebridge Financial,Director of Finance,Financial Services,2010-10-21,2013-04-15,false,2013-04-15,crm_import
117,1,6915,Granite Advisory,Chief Financial Officer,Financial Services,2016-02-10,,true,2019-09-04,profile_enrichment
118,1,1713,Beacon Legal Group,Senior Counsel,Legal Services,2023-04-02,2025-09-25,false,2025-09-25,crm_import
119,1,1713,Beacon Legal Group,Managing Counsel,Legal Services,2025-09-26,,true,2026-08-31,crm_import
120,1,16610,Granite Industrial Group,Senior Operations Manager,Manufacturing,2023-12-30,,true,2026-03-15,crm_import
121,1,7279,Summit Grove Partners,Associate,Financial Services,2021-03-20,2023-09-30,false,2023-09-30,crm_import
122,1,7279,Stonebridge Financial,Analyst,Financial Services,2015-05-07,2021-03-19,false,2021-03-19,profile_enrichment
123,1,7279,Stonebridge Financial,Finance Manager,Financial Services,2025-02-04,,true,2026-02-04,profile_enrichment
124,1,15548,Granite Advisory,Associate,Financial Services,2026-05-10,,true,2026-05-26,profile_enrichment
125,1,12800,Granite Industrial Group,Vice President of Operations,Manufacturing,2021-03-02,2024-12-10,false,2024-12-10,profile_enrichment
126,1,12800,Arcfield Manufacturing,President,Manufacturing,2024-12-11,,true,2026-01-29,profile_enrichment
127,1,8241,Granite Industrial Group,Director of Operations,Manufacturing,2022-07-25,2026-07-02,false,2026-07-02,profile_enrichment
128,1,8241,Granite Industrial Group,Vice President of Operations,Manufacturing,2026-07-03,,true,2026-07-09,profile_enrichment
129,1,12060,CivicWorks Collaborative,Senior Program Manager,Nonprofit,2022-07-22,2025-10-26,false,2025-10-26,profile_enrichment
130,1,12060,Metro Community Foundation,Program Manager,Nonprofit,2018-03-24,2022-07-21,false,2022-07-21,crm_import
131,1,12060,Metro Community Foundation,Program Coordinator,Nonprofit,2013-01-08,2018-03-23,false,2018-03-23,profile_enrichment
132,1,12060,CivicWorks Collaborative,Director of Programs,Nonprofit,2025-10-27,,true,2026-08-17,crm_import
133,1,7739,Granite Advisory,Vice President of Finance,Financial Services,2007-07-24,2011-03-20,false,2011-03-20,profile_enrichment
134,1,7739,Granite Advisory,Chief Financial Officer,Financial Services,2011-03-21,,true,2017-03-31,profile_enrichment
135,1,18834,Lakeshore Media,President,Media,2016-12-11,2021-06-19,false,2021-06-19,crm_import
136,1,18834,Lakeshore Media,President,Media,2021-06-20,,true,2023-06-26,crm_import
137,1,17181,Northbridge Academy,Department Chair,Education,2020-02-19,2024-06-19,false,2024-06-19,crm_import
138,1,17181,Juniper Education Group,Professor,Education,2016-01-25,2019-05-08,false,2019-05-08,crm_import
139,1,17181,Northbridge Academy,Dean,Education,2025-08-17,,true,2025-12-31,profile_enrichment
140,1,14248,Redwood Holdings,,Manufacturing,2013-09-17,,true,2023-01-02,profile_enrichment
141,1,2925,Granite Advisory,Chief Financial Officer,Financial Services,2018-01-15,,true,2023-09-08,profile_enrichment
142,1,2207,Granite Advisory,,Financial Services,2015-12-14,,true,2017-05-15,crm_import
143,1,12739,Summit Grove Partners,Vice President of Finance,Financial Services,2007-02-04,2013-01-20,false,2013-01-20,crm_import
144,1,12739,Silver Maple Holdings,Director of Finance,Financial Services,2003-07-25,2007-02-03,false,2007-02-03,crm_import
145,1,12739,Summit Grove Partners,Senior Finance Manager,Financial Services,1999-05-04,2003-07-24,false,2003-07-24,profile_enrichment
146,1,12739,Silver Maple Holdings,Chief Financial Officer,Financial Services,2013-01-21,,true,2017-06-21,profile_enrichment
147,1,12000,Northbridge Academy,Professor,Education,2022-01-07,2025-01-03,false,2025-01-03,profile_enrichment
148,1,12000,Northbridge Academy,Department Chair,Education,2025-01-04,,true,2026-06-02,profile_enrichment
149,1,3890,Granite Industrial Group,Operations Manager,Manufacturing,2014-08-24,,true,2019-12-10,profile_enrichment
150,1,13693,Northstar Systems,Engineering Manager,Technology,2020-05-27,2022-07-25,false,2022-07-25,profile_enrichment
151,1,13693,Mariner Labs,Senior Software Engineer,Technology,2014-10-06,2020-05-26,false,2020-05-26,profile_enrichment
