id,school_id,constituent_id,degree_type,school_or_unit,major,class_year,start_year,record_source
1,1,14201,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,Political Science,1998,1994,online
2,1,18989,M.S. Master of Science,College of Arts and Sciences,English,2001,1997,advancement_entry
3,1,7912,M.B.A. Master of Business Administration,School of Health Sciences,Public Health,1996,1992,crm_import
4,1,6536,B.S. Bachelor of Science,College of Arts and Sciences,English,1989,1985,crm_import
5,1,14032,M.B.A. Master of Business Administration,School of Health Sciences,Public Health,2021,2017,crm_import
6,1,17988,Certificate,School of Health Sciences,Public Health,2018,2014,crm_import
7,1,42,M.A. Master of Arts,School of Engineering,Computer Science,1985,1981,crm_import
8,1,15674,Certificate,School of Health Sciences,Public Health,1978,1974,crm_import
9,1,19391,B.S. Bachelor of Science,School of Engineering,,1992,1988,online
10,1,14456,J.D. Doctor of Jurisprudence,School of Business,Business Administration,2008,2004,online
11,1,2213,B.B.A. Bachelor of Business Administration,School of Education,Education,1999,1995,advancement_entry
12,1,9875,M.A. Master of Arts,College of Arts and Sciences,Economics,1975,1971,crm_import
13,1,8930,M.B.A. Master of Business Administration,College of Arts and Sciences,Economics,2017,2013,crm_import
14,1,8930,J.D. Doctor of Jurisprudence,School of Education,Education,2023,2021,crm_import
15,1,6164,Certificate,School of Business,Business Administration,2015,2011,crm_import
16,1,6164,Ph.D. Doctor of Philosophy,School of Engineering,Mechanical Engineering,2019,2017,crm_import
17,1,626,M.B.A. Master of Business Administration,College of Arts and Sciences,Political Science,1988,1984,crm_import
18,1,626,Ph.D. Doctor of Philosophy,School of Education,Education,1995,1993,crm_import
19,1,7913,M.A. Master of Arts,School of Engineering,Mechanical Engineering,2010,2006,crm_import
20,1,2548,,College of Arts and Sciences,History,2019,2015,crm_import
21,1,1025,B.S. Bachelor of Science,School of Engineering,Mechanical Engineering,1993,1989,crm_import
22,1,12594,,College of Arts and Sciences,,1999,1995,online
23,1,1815,B.A. Bachelor of Arts,School of Engineering,Computer Science,2014,2010,online
24,1,6236,Ph.D. Doctor of Philosophy,School of Engineering,Mechanical Engineering,2001,1997,advancement_entry
25,1,6236,M.S. Master of Science,School of Health Sciences,Public Health,2006,2004,advancement_entry
26,1,264,M.B.A. Master of Business Administration,School of Engineering,Mechanical Engineering,2009,2005,crm_import
27,1,14267,B.S. Bachelor of Science,College of Arts and Sciences,Economics,1959,1955,crm_import
28,1,12514,B.S. Bachelor of Science,College of Arts and Sciences,Biology,1997,1993,crm_import
29,1,9549,Certificate,School of Engineering,Computer Science,2020,2016,crm_import
30,1,18084,M.B.A. Master of Business Administration,College of Arts and Sciences,English,2024,2020,crm_import
31,1,12973,Certificate,School of Health Sciences,Public Health,,1970,crm_import
32,1,11829,M.S. Master of Science,College of Arts and Sciences,Political Science,2020,2016,online
33,1,14771,J.D. Doctor of Jurisprudence,College of Arts and Sciences,Economics,2001,1997,online
34,1,5299,Ph.D. Doctor of Philosophy,College of Arts and Sciences,Political Science,2001,1997,advancement_entry
35,1,3300,M.A. Master of Arts,School of Engineering,Computer Science,1982,1978,crm_import
36,1,12503,Ph.D. Doctor of Philosophy,College of Arts and Sciences,History,2026,2022,crm_import
37,1,13403,,School of Engineering,Mechanical Engineering,2021,2017,crm_import
38,1,13403,M.A. Master of Arts,College of Arts and Sciences,History,2025,2023,crm_import
39,1,16452,M.S. Master of Science,School of Engineering,Computer Science,2009,2005,crm_import
40,1,17400,Certificate,School of Engineering,Mechanical Engineering,1998,1994,crm_import
41,1,6870,B.A. Bachelor of Arts,School of Engineering,,1972,1968,online
42,1,6689,J.D. Doctor of Jurisprudence,School of Education,Education,1975,1971,online
43,1,169,Ph.D. Doctor of Philosophy,School of Engineering,Mechanical Engineering,2018,2014,advancement_entry
44,1,6930,B.S. Bachelor of Science,School of Business,Business Administration,2002,1998,crm_import
45,1,5219,A.B. Bachelor of Arts,College of Arts and Sciences,English,1980,1976,crm_import
46,1,17185,M.S. Master of Science,School of Engineering,,2009,2005,crm_import
47,1,17185,A.B. Bachelor of Arts,College of Arts and Sciences,English,2014,2012,crm_import
48,1,382,B.A. Bachelor of Arts,School of Health Sciences,Public Health,2000,1996,crm_import
49,1,10591,J.D. Doctor of Jurisprudence,School of Engineering,Computer Science,1985,1981,crm_import
50,1,12225,B.A. Bachelor of Arts,College of Arts and Sciences,,2013,2009,online
51,1,10576,J.D. Doctor of Jurisprudence,College of Arts and Sciences,Political Science,1999,1995,online
52,1,14894,Certificate,School of Business,Business Administration,2017,2013,advancement_entry
53,1,1640,M.A. Master of Arts,School of Business,Business Administration,2008,2004,crm_import
54,1,10504,M.A. Master of Arts,College of Arts and Sciences,Economics,,2003,crm_import
55,1,16994,B.B.A. Bachelor of Business Administration,School of Engineering,Mechanical Engineering,1995,1991,crm_import
56,1,5867,Certificate,College of Arts and Sciences,Biology,1997,1993,crm_import
57,1,13926,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,Biology,,2011,crm_import
58,1,1688,J.D. Doctor of Jurisprudence,School of Health Sciences,Public Health,2013,2009,crm_import
59,1,12785,J.D. Doctor of Jurisprudence,College of Arts and Sciences,Biology,2008,2004,online
60,1,13393,J.D. Doctor of Jurisprudence,College of Arts and Sciences,Biology,2006,2002,online
61,1,18341,Certificate,College of Arts and Sciences,History,2019,2015,advancement_entry
62,1,9895,B.B.A. Bachelor of Business Administration,College of Arts and Sciences,Economics,2022,2018,crm_import
63,1,469,M.B.A. Master of Business Administration,School of Engineering,Computer Science,2023,2019,crm_import
64,1,14556,J.D. Doctor of Jurisprudence,School of Engineering,Computer Science,2012,2008,crm_import
65,1,395,,College of Arts and Sciences,,1994,1990,crm_import
66,1,18217,M.S. Master of Science,School of Engineering,Mechanical Engineering,2011,2007,crm_import
67,1,19806,B.B.A. Bachelor of Business Administration,School of Engineering,Computer Science,1965,1961,crm_import
68,1,5752,B.A. Bachelor of Arts,School of Engineering,Computer Science,1994,1990,crm_import
69,1,2632,M.B.A. Master of Business Administration,School of Business,Business Administration,2011,2007,online
70,1,7043,,School of Education,Education,1992,1988,online
71,1,6366,M.S. Master of Science,School of Engineering,Computer Science,1979,1975,advancement_entry
72,1,6366,Ph.D. Doctor of Philosophy,School of Engineering,Mechanical Engineering,1981,1979,advancement_entry
73,1,4753,A.B. Bachelor of Arts,School of Business,,1979,1975,crm_import
74,1,4753,Ph.D. Doctor of Philosophy,School of Engineering,Computer Science,1983,1981,crm_import
75,1,5649,J.D. Doctor of Jurisprudence,School of Business,Business Administration,2014,2010,crm_import
76,1,8646,Ph.D. Doctor of Philosophy,College of Arts and Sciences,English,1966,1962,crm_import
77,1,8646,M.B.A. Master of Business Administration,College of Arts and Sciences,Biology,1972,1970,crm_import
78,1,11960,A.B. Bachelor of Arts,School of Education,Education,1979,1975,crm_import
79,1,11960,M.A. Master of Arts,College of Arts and Sciences,English,1983,1981,crm_import
80,1,13214,J.D. Doctor of Jurisprudence,School of Health Sciences,Public Health,2016,2012,crm_import
81,1,7415,M.B.A. Master of Business Administration,School of Engineering,Computer Science,1996,1992,crm_import
82,1,1573,B.A. Bachelor of Arts,School of Business,Business Administration,1953,1949,online
83,1,16819,Certificate,College of Arts and Sciences,English,,2006,online
84,1,15751,M.B.A. Master of Business Administration,College of Arts and Sciences,Political Science,1967,1963,advancement_entry
85,1,12173,Ph.D. Doctor of Philosophy,College of Arts and Sciences,History,2000,1996,crm_import
86,1,2477,Ph.D. Doctor of Philosophy,College of Arts and Sciences,Political Science,2005,2001,crm_import
87,1,10444,,School of Engineering,Mechanical Engineering,1987,1983,crm_import
88,1,17072,Ph.D. Doctor of Philosophy,School of Business,,1981,1977,crm_import
89,1,13508,M.A. Master of Arts,College of Arts and Sciences,Economics,2007,2003,crm_import
90,1,1175,B.A. Bachelor of Arts,School of Engineering,Computer Science,2024,2020,crm_import
91,1,13232,B.B.A. Bachelor of Business Administration,School of Health Sciences,Public Health,2005,2001,online
92,1,12342,J.D. Doctor of Jurisprudence,School of Health Sciences,Public Health,1990,1986,online
93,1,12175,B.A. Bachelor of Arts,College of Arts and Sciences,Political Science,2026,2022,advancement_entry
94,1,15934,M.A. Master of Arts,School of Engineering,Mechanical Engineering,2000,1996,crm_import
