id,school_id,gift_id,fund_id,amount,raw_fund_name
1,1,1,17,250.00,Parent and Family Fund
2,1,2,17,25.00,Parent and Family Fund
3,1,3,17,2500.00,Parent and Family Fund
4,1,4,17,50.00,Parent and Family Fund
5,1,5,17,25.00,Parent and Family Fund
6,1,6,17,25.00,Parent and Family Fund
7,1,7,17,103.20,Parent and Family Fund
8,1,8,17,1000.00,Parent and Family Fund
9,1,9,15,100.00,Community Service Fund
10,1,10,5,2500.00,Student Emergency Fund
11,1,11,17,25.00,Parent and Family Fund
12,1,12,17,2500.00,Parent and Family Fund
13,1,13,17,25.00,PARENT AND FAMILY FD.
14,1,14,17,500.00,PARENT AND FAMILY FD.
15,1,15,13,25.00,Women's Soccer Fund
16,1,16,12,50.00,ATHLETICS EXCELLENCE FD.
17,1,17,17,25.00,Parent and Family Fund
18,1,18,13,15.00,Women's Soccer Fund
19,1,19,13,50.00,Women's Soccer Fund
20,1,20,5,25.00,STUDENT EMERGENCY FD.
21,1,20,15,25.00,COMMUNITY SERVICE FD.
22,1,21,3,100.00,General Scholarship Fund
23,1,22,3,25.00,General Scholarship Fund
24,1,23,2,100.00,Annual Fund (legacy)
25,1,24,6,2580.00,Library and Learning Commons
26,1,26,3,45.00,General Scholarship Fund
27,1,26,7,30.00,Engineering Innovation Fund
28,1,27,18,100.00,Alumni Programs Fund
29,1,28,1,1000.00,WHEREVER NEEDED MOST
30,1,29,20,250.00,Business School Fund (legacy)
31,1,30,11,75.00,Arts and Performance Fund (legacy)
32,1,31,9,100.00,Humanities Fund
33,1,32,20,50.00,Business School Fund
34,1,33,1,250.00,Wherever Needed Most
35,1,34,1,5000.00,Wherever Needed Most
36,1,35,4,103.20,First-Generation Student Fund
37,1,36,2,500.00,Annual Fund
38,1,37,2,15.00,Annual Fund
39,1,38,2,50.00,Annual Fund
40,1,38,3,50.00,General Scholarship Fund
41,1,39,1,25.00,Wherever Needed Most (legacy)
42,1,40,4,25.00,First-Generation Student Fund
43,1,41,1,75.00,Wherever Needed Most
44,1,42,1,1000.00,WHEREVER NEEDED MOST
45,1,43,12,50.00,Athletics Excellence Fund
46,1,44,11,100.00,Arts and Performance Fund (legacy)
47,1,45,20,500.00,Business School Fund
48,1,46,3,193.50,General Scholarship Fund
49,1,46,19,64.50,Campus Renewal Fund
50,1,47,18,250.00,Alumni Programs Fund (legacy)
51,1,48,1,100.00,Wherever Needed Most
52,1,49,2,500.00,ANNUAL FD.
53,1,50,6,50.00,LIBRARY AND LEARNING COMMONS
54,1,51,17,75.00,Parent and Family Fund
55,1,52,17,250.00,PARENT AND FAMILY FD.
56,1,53,1,25.00,Wherever Needed Most
57,1,54,20,25.00,Business School Fund
58,1,55,17,75.00,Parent and Family Fund
59,1,56,17,45.00,Parent and Family Fund
60,1,56,22,30.00,Class of 2001 Scholarship
61,1,57,17,250.00,Parent and Family Fund
62,1,59,17,50.00,Parent and Family Fund (legacy)
63,1,60,17,100.00,Parent and Family Fund
64,1,61,17,75.00,Parent and Family Fund
65,1,62,17,250.00,Parent and Family Fund
66,1,63,17,1000.00,PARENT AND FAMILY FD.
67,1,64,1,100.00,Wherever Needed Most
68,1,65,18,150.00,Alumni Programs Fund
69,1,65,6,100.00,Library and Learning Commons
70,1,66,2,500.00,Annual Fund
71,1,67,18,100.00,ALUMNI PROGRAMS FD.
72,1,68,4,75.00,First-Generation Student Fund
73,1,69,1,75.00,Wherever Needed Most
74,1,70,11,100.00,ARTS AND PERFORMANCE FD.
75,1,71,1,250.00,Wherever Needed Most (legacy)
76,1,72,12,250.00,Athletics Excellence Fund
77,1,73,15,50.00,Community Service Fund
78,1,74,5,75.00,Student Emergency Fund
79,1,75,5,250.00,Student Emergency Fund (legacy)
80,1,76,5,500.00,Student Emergency Fund
81,1,77,17,100.00,Parent and Family Fund
82,1,78,17,250.00,Parent and Family Fund
83,1,79,17,50.00,Parent and Family Fund (legacy)
84,1,80,5,1000.00,STUDENT EMERGENCY FD.
85,1,81,15,2500.00,Community Service Fund (legacy)
86,1,82,5,25.00,Student Emergency Fund (legacy)
87,1,83,5,250.00,STUDENT EMERGENCY FD.
88,1,84,17,500.00,Parent and Family Fund
89,1,85,17,250.00,Parent and Family Fund (legacy)
90,1,86,17,250.00,Parent and Family Fund (legacy)
91,1,87,17,100.00,PARENT AND FAMILY FD.
92,1,88,2,1000.00,Annual Fund
93,1,89,1,250.00,Wherever Needed Most
94,1,90,9,250.00,HUMANITIES FD.
95,1,91,2,100.00,Annual Fund (legacy)
96,1,92,6,2500.00,Library and Learning Commons
97,1,93,1,50.00,Wherever Needed Most
98,1,94,1,15.00,Wherever Needed Most
99,1,95,3,25.00,General Scholarship Fund
100,1,96,1,250.00,Wherever Needed Most
101,1,97,6,25.00,Library and Learning Commons
102,1,98,1,15.00,Wherever Needed Most
103,1,99,2,50.00,Annual Fund (legacy)
104,1,100,1,50.00,Wherever Needed Most
105,1,101,20,100.00,Business School Fund
106,1,102,11,250.00,Arts and Performance Fund
107,1,103,1,500.00,Wherever Needed Most
