id,school_id,constituent_id,campaign_id,opportunity_id,gift_date,amount,currency,status,gift_type,gift_channel,record_source,payment_method,anonymous,fiscal_year,external_id,linked_parent_gift_id
1,1,5428,,,2011-06-06,250.00,USD,paid,one_time,,crm_import,check,false,2011,CRM-09A-H0T6,
2,1,12205,,,2022-12-23,25.00,USD,paid,one_time,,crm_import,credit_card,false,2023,CRM-0O4-P81T,
3,1,16779,,,2024-06-17,2500.00,USD,paid,one_time,event,advancement_entry,credit_card,false,2024,CRM-1PT-YL50,
4,1,19158,1,,2024-03-13,50.00,USD,paid,one_time,online,givecampus,credit_card,false,2024,GC-2024-1M4YNC9,
5,1,19158,,,2025-03-10,25.00,USD,paid,one_time,mail,advancement_entry,bank_transfer,false,2025,CRM-1BU-YXN8,
6,1,19158,,,2023-06-08,25.00,USD,paid,one_time,,crm_import,bank_transfer,true,2023,CRM-1O8-DUZ2,
7,1,19158,13,,2025-12-30,103.20,USD,paid,one_time,online,givecampus,credit_card,false,2026,GC-2025-1QSJU0A,
8,1,10901,,,1999-06-07,1000.00,USD,paid,one_time,,crm_import,other,false,1999,CRM-0YF-QTOZ,
9,1,12173,,,2013-11-18,100.00,USD,paid,one_time,,crm_import,check,false,2014,CRM-1WX-26RP,
10,1,12173,,,2013-12-24,2500.00,USD,paid,one_time,,crm_import,check,false,2014,CRM-13X-JR84,
11,1,10024,1,,2025-11-20,25.00,USD,paid,one_time,mail,advancement_entry,other,false,2026,CRM-0W7-JGRQ,
12,1,10024,,,2025-11-03,2500.00,USD,paid,one_time,,crm_import,bank_transfer,false,2026,CRM-0HO-9BJU,
13,1,10024,,,2024-07-12,25.00,USD,paid,one_time,,crm_import,bank_transfer,false,2025,CRM-1SZ-6WRM,
14,1,10024,1,,2024-02-02,500.00,USD,paid,one_time,,crm_import,other,false,2024,CRM-0GS-PLY0,
15,1,14082,1,,2024-06-07,25.00,USD,paid,one_time,online,givecampus,credit_card,false,2024,GC-2024-02KFCZP,
16,1,14082,,,2026-03-03,50.00,USD,paid,one_time,,crm_import,credit_card,false,2026,CRM-1PY-QC70,
17,1,13434,1,,2024-11-07,25.00,USD,paid,one_time,online,givecampus,credit_card,false,2025,GC-2024-004OQ3F,
18,1,3568,,,2025-10-15,15.00,USD,paid,one_time,event,advancement_entry,check,false,2026,CRM-0QM-JPCN,
19,1,3568,,,2024-10-27,50.00,USD,paid,one_time,mail,advancement_entry,bank_transfer,false,2025,CRM-0MV-LA6A,
20,1,8074,,,2023-06-09,50.00,USD,paid,one_time,,crm_import,other,false,2023,CRM-0CF-HK5Z,
21,1,12344,,,2026-04-16,100.00,USD,paid,one_time,,crm_import,stock,false,2026,CRM-1U8-E31Q,
22,1,12344,,,2026-08-06,25.00,USD,paid,one_time,,crm_import,check,false,2027,CRM-09L-0HPW,
23,1,12344,,,2025-10-19,100.00,USD,paid,one_time,,crm_import,credit_card,false,2026,CRM-1WO-6DWW,
24,1,12344,1,,2024-03-19,2580.00,USD,paid,one_time,online,givecampus,credit_card,false,2024,GC-2024-0GILGJO,
25,1,1083,1,,2025-06-08,25.00,USD,failed,one_time,,crm_import,other,false,2025,CRM-00C-9AOJ,
26,1,1083,,,2023-02-17,75.00,USD,paid,one_time,event,advancement_entry,bank_transfer,false,2023,CRM-1DH-025Y,
27,1,1083,,,2022-10-15,100.00,USD,paid,one_time,,crm_import,check,false,2023,CRM-1BW-OQAL,
28,1,1083,1,,2022-11-22,1000.00,USD,paid,one_time,,crm_import,credit_card,false,2023,CRM-1J6-W2WH,
29,1,8529,1,,2025-10-28,250.00,USD,refunded,one_time,,crm_import,stock,false,2026,CRM-1IN-WU4O,
30,1,8529,,,2024-08-19,75.00,USD,paid,one_time,,crm_import,other,false,2025,CRM-0H6-H6HA,
31,1,8529,1,,2023-12-22,100.00,USD,paid,one_time,online,givecampus,credit_card,false,2024,,
32,1,8529,1,,2023-07-28,50.00,USD,paid,one_time,online,givecampus,credit_card,false,2024,,
33,1,8529,,,2022-07-12,250.00,USD,paid,one_time,,crm_import,bank_transfer,false,2023,CRM-0TP-MAC0,
34,1,8529,,,2023-12-24,5000.00,USD,paid,one_time,,crm_import,credit_card,false,2024,CRM-1DH-82I7,
35,1,8529,1,,2022-01-05,103.20,USD,paid,one_time,online,givecampus,credit_card,false,2022,GC-2022-013SZ0S,
36,1,8529,,,2021-05-13,500.00,USD,paid,one_time,,crm_import,check,false,2021,CRM-1GM-DY24,
37,1,8529,,,2019-04-14,15.00,USD,paid,one_time,,crm_import,bank_transfer,false,2019,CRM-0UW-YFDZ,
38,1,8529,1,,2020-10-05,100.00,USD,paid,one_time,online,givecampus,credit_card,false,2021,GC-2020-1S32AEK,
39,1,8529,,,2019-04-28,25.00,USD,pledged,pledge,,crm_import,check,false,2019,CRM-1A3-VNCC,
40,1,8529,,,2019-01-19,25.00,USD,paid,one_time,,crm_import,other,false,2019,CRM-0PM-ZX2W,
41,1,8529,,,2017-10-16,75.00,USD,pledged,pledge,,crm_import,stock,false,2018,CRM-08E-LDJB,
42,1,8529,,,2018-03-05,1000.00,USD,paid,one_time,,crm_import,bank_transfer,false,2018,CRM-14Q-LWE4,
43,1,15380,,,2022-12-23,50.00,USD,paid,one_time,event,advancement_entry,check,false,2023,CRM-0CG-IPUH,
44,1,17612,,,2024-10-15,100.00,USD,paid,one_time,,crm_import,other,false,2025,CRM-02M-LWIO,
45,1,18034,1,,2025-07-01,500.00,USD,pledged,pledge,online,givecampus,credit_card,false,2026,GC-2025-0C35SQ9,
46,1,7560,1,,2026-06-12,258.00,USD,paid,one_time,online,givecampus,credit_card,false,2026,GC-2026-0VN9OVI,
47,1,14413,,,2020-01-28,250.00,USD,paid,one_time,,crm_import,credit_card,true,2020,CRM-0X8-OCVI,
48,1,14413,1,,2020-10-15,100.00,USD,paid,one_time,online,givecampus,credit_card,false,2021,GC-2020-0YT75O0,
49,1,14413,,,2020-07-19,500.00,USD,paid,one_time,,crm_import,check,false,2021,CRM-1GK-X5P3,
50,1,14413,,,2019-11-06,50.00,USD,paid,one_time,,crm_import,credit_card,false,2020,CRM-1AY-34US,
51,1,14014,1,,2024-09-23,75.00,USD,paid,one_time,,crm_import,check,false,2025,CRM-1JM-9LOK,
52,1,14014,,,2024-10-15,250.00,USD,paid,one_time,,crm_import,stock,false,2025,CRM-1JG-T9XL,
53,1,14394,,,1997-10-20,25.00,USD,paid,one_time,,crm_import,check,false,1998,CRM-17U-MJVA,
54,1,12117,,,2025-01-20,25.00,USD,paid,one_time,phone,advancement_entry,check,false,2025,CRM-1JH-M7UC,
55,1,5092,,,2002-06-17,75.00,USD,paid,one_time,,crm_import,stock,false,2002,CRM-1Y5-07QI,
56,1,5092,,,2003-10-03,75.00,USD,failed,one_time,,crm_import,stock,false,2004,CRM-0XD-TRW5,
57,1,5092,,,2001-10-15,250.00,USD,paid,one_time,,crm_import,bank_transfer,false,2002,CRM-1A8-DJCS,
58,1,5092,,,2002-10-11,250.00,USD,failed,one_time,,crm_import,credit_card,false,2003,CRM-1IB-IJC5,
59,1,14221,,,2021-03-08,50.00,USD,paid,one_time,,crm_import,bank_transfer,false,2021,CRM-1GO-F8SO,
60,1,14221,,,2022-05-06,100.00,USD,paid,one_time,phone,advancement_entry,other,false,2022,CRM-1RN-EZH7,
61,1,14221,,,2021-01-21,75.00,USD,paid,one_time,,crm_import,bank_transfer,false,2021,CRM-0GD-PDQI,
62,1,14221,,,2019-03-04,250.00,USD,paid,one_time,,crm_import,other,false,2019,CRM-1LJ-FQJL,
63,1,13334,1,,2020-06-21,1000.00,USD,paid,one_time,,crm_import,credit_card,false,2020,CRM-0MD-16VL,
64,1,10316,,,2015-03-26,100.00,USD,paid,one_time,,crm_import,stock,false,2015,CRM-16T-KK8H,
65,1,10316,,,2016-03-20,250.00,USD,paid,one_time,,crm_import,other,false,2016,CRM-1GM-7XU6,
66,1,10316,,,2013-10-15,500.00,USD,paid,one_time,,crm_import,check,false,2014,CRM-0G4-TU27,
67,1,10316,,,2015-10-15,100.00,USD,paid,one_time,,crm_import,other,false,2016,CRM-093-47IB,
68,1,10316,,,2014-12-22,75.00,USD,paid,one_time,,crm_import,bank_transfer,false,2015,CRM-0ZT-HC53,
69,1,10316,,,2013-10-15,75.00,USD,paid,one_time,,crm_import,other,false,2014,CRM-16I-R829,
70,1,10316,,,2011-05-03,100.00,USD,paid,one_time,,crm_import,bank_transfer,false,2011,CRM-0T7-IM5N,
71,1,10316,,,2012-12-03,250.00,USD,paid,one_time,,crm_import,stock,false,2013,CRM-091-TLPF,
72,1,11187,1,,2022-09-20,250.00,USD,paid,one_time,,crm_import,check,false,2023,CRM-06F-I9M1,
73,1,14563,1,,2020-10-15,50.00,USD,paid,one_time,,crm_import,other,false,2021,CRM-17J-T2L5,
74,1,14563,1,,2021-03-16,75.00,USD,paid,one_time,online,givecampus,credit_card,false,2021,GC-2021-0E7WKW2,
